id,level,domain,score,naturalness,utility,translatability,suspected_dup_of,llm_cut,reason,en_text
27104,A0,everyday,1.600,1,1,4,,1,Highly unnatural and very specific distance wording,Eighty steps more
26979,A0,everyday,1.700,2,2,3,26978,1,Odd standalone statement; context-dependent.,I am not here
27162,A0,everyday,1.700,2,1,5,27163,1,Uncommon request; near-duplicate drink/item fragment,A cup of water
27033,A0,everyday,1.800,1,1,5,,1,Artificial beginner-sentence padding; little real-life use,He is a man
27087,A0,everyday,2.000,2,1,4,,1,Templated number+noun variant; very low standalone value.,Nine bags only
27280,A0,everyday,2.000,1,2,4,,1,Unnatural announcement wording; not idiomatic English.,Now boarding soon
26981,A0,everyday,2.200,2,1,5,,1,Odd standalone sentence with little real-world use.,You are there
27048,A0,everyday,2.200,2,2,3,,1,Unnatural without context; frequency of what?,How often is it?
27081,A0,everyday,2.200,2,2,3,,1,Unnatural; 'three more years' is standard,Three years more
27098,A0,everyday,2.200,2,2,3,,1,Unnatural request without context,Twenty minutes please
27153,A0,everyday,2.400,2,2,4,,1,Bare imperative is odd without context; low standalone utility,Drive the car
27375,A0,everyday,2.400,2,2,4,,1,Comparative feels incomplete,That is slower
27037,A0,everyday,2.400,2,2,4,,1,Ungrammatical as standalone; should be 'There are many...',Many people here
27100,A0,everyday,2.400,2,2,4,,1,Retail-specific and unnatural; should be '10 items or fewer' style,Forty items only
27336,A0,everyday,2.400,2,2,4,,1,Unnatural; native speakers say 'with me' or 'come with me',Together with me
27038,A0,everyday,2.400,2,2,4,,1,Odd fragment; speaker would usually make a full sentence,A few people here
27086,A0,everyday,2.400,2,2,4,,1,Awkward phrasing; native speakers say 'It's eight o'clock now',Eight o'clock now
27384,A0,everyday,2.400,2,2,4,,1,Stilted fragment; limited scenario,Strong signal here
27161,A0,everyday,2.400,2,2,4,,1,Unnatural request; meaning unclear without context,Free charger please
27010,A0,everyday,2.500,3,2,5,27334,1,Awkward and weaker than 'Same as before',Same as this
27012,A0,everyday,2.500,3,2,5,27015,1,Subordinate clause fragment; weak standalone utility,Because I am new
27318,A0,everyday,2.500,3,2,5,27307,1,Stilted; natives usually just say congratulations,Congratulations to you
27311,A0,everyday,2.600,2,2,5,,1,Please makes it awkward,Take care please
27277,A0,everyday,2.600,2,3,3,,1,Elliptical and unnatural request phrasing,Ticket counter please
27149,A0,everyday,2.800,3,2,4,,1,Bare fragment; weak standalone usefulness,On the table
27337,A0,everyday,2.800,3,2,4,,1,Context-specific fragment with limited reuse,Alone for now
27324,A0,everyday,2.800,2,3,4,,1,Unnatural phrasing/casing; 'Excuse me' is better,please excuse me
27118,A0,everyday,2.800,3,2,4,,1,"Location fragment, not a full useful utterance",Outside the house
27090,A0,everyday,2.800,3,2,4,,1,Odd standalone phrase; limited reuse,Twelve months total
27275,A0,everyday,2.800,2,3,4,,1,Unnatural fragment; missing verb,The train station please
27151,A0,everyday,2.900,5,1,5,27152,1,Near-duplicate location fragment; templated padding.,On the chair
27246,A0,everyday,2.900,4,2,5,27247,1,Bare future statement with low standalone use,I will eat
27247,A0,everyday,2.900,4,2,5,27246,1,Bare future statement with low standalone use,I will drink
27110,A0,everyday,3.000,3,2,5,,1,Less natural than 'very close' or 'nearby',Very near here
27134,A0,everyday,3.000,3,2,5,,1,Context-dependent command with low standalone reuse,Go back please
27109,A0,everyday,3.000,3,2,5,,1,Vague imperative with limited standalone utility,Go there please
27085,A0,everyday,3.000,3,2,5,,1,Odd standalone phrase with limited reuse,Seven days total
27163,A0,everyday,3.000,3,2,5,,1,"Fragment; trivial item label, weak standalone use",A bottle of water
27013,A0,everyday,3.000,3,2,5,,1,Subordinate clause fragment; low reuse,Because it is late
24839,A0,social,2.400,2,2,4,,1,"Ambiguous; 'number' could mean phone, room, or other number.",What is your number?
27279,A0,numbers,1.900,2,2,4,27278,1,Awkward wording; not how natives ask,Seat number please
27091,A0,numbers,2.200,2,2,3,,1,Fragment; unnatural transit wording,Thirteen stops ahead
27028,A0,business,1.900,2,2,4,27026,1,Worker sounds unnatural as self-description.,I am a worker
27331,A0,business,2.400,2,2,4,,1,Awkward phrasing; unclear context,That one only
27347,A0,business,2.400,2,2,4,,1,Awkward fragment; speaker would phrase it differently,Also this one
27344,A0,business,2.400,2,2,4,,1,Awkward phrasing; learners need more natural alternatives.,Much less please
27014,A0,business,2.500,3,2,5,27013,1,Subordinate clause fragment; low reuse,Because it is closed
27346,A0,business,2.600,3,2,3,,1,Context-dependent scolding phrase; limited learner value.,Less of that
27345,A0,business,2.800,3,2,4,,1,Vague fragment; limited standalone usefulness.,More of this
27332,A0,business,2.800,3,2,4,,1,Fragment with unclear standalone use.,Like this one
27011,A0,education,2.400,2,2,4,,1,Awkward fragment; unclear standalone use,Different from this
27339,A0,education,2.600,2,2,5,,1,Awkward; native phrasing is 'Not done yet'.,Not yet done
27259,A0,education,2.700,4,2,4,27403,1,Too vague alone; better with object specified,Please show me
27240,A0,education,2.800,3,2,4,,1,Stilted standalone phrase; low reuse.,I know this
27373,A0,education,2.800,3,2,4,,1,Limited use; incomplete comparative,That is worse
27262,A0,education,3.000,2,3,5,,1,Stilted; native speakers usually say 'Let's start'.,Let us start
27094,A0,housing,2.800,3,2,4,,1,Odd fragment; limited reuse,Sixteen floors up
27385,A0,civic,2.000,1,2,4,,1,Ungrammatical/unnatural warning phrasing,Danger stay back
27316,A0,culture,2.400,3,2,2,,1,"Meaning shifts by culture: toast, thanks, goodbye",Cheers!
27175,A0,environment,3.000,3,2,5,,1,Just an item noun phrase; limited standalone value,A paper bag
27389,A0,emergency,3.800,4,3,5,,0,Natural instruction; useful in emergencies,Go to the hospital
23161,A1,civic,1.100,1,1,4,24385,1,Ungrammatical/unnatural direction phrasing,Where is the north?
24462,A1,civic,1.600,1,1,4,,1,Single-word imperative is too decontextualized,go
24943,A1,civic,1.600,1,1,4,,1,"Single word, not a phrase",need
24949,A1,civic,1.600,1,1,4,,1,Nonsensical as a standalone question,What is the world?
23116,A1,civic,1.800,2,1,3,,1,Contextless and unnatural spatial question,Is it below?
25850,A1,civic,1.800,2,1,3,,1,Incomplete/odd; 'introduce you' needs context.,Let me introduce you.
26430,A1,civic,2.100,2,2,5,26767,1,Oddly specific and less useful than 'Stop the car.',Stop the train now.
26300,A1,civic,2.100,3,1,5,24095,1,Classroom-style location sentence; low utility.,Is the book below the chair?
21770,A1,civic,2.200,2,1,5,,1,Unnatural and too generic to be useful,Is it an event?
25651,A1,civic,2.200,2,1,5,,1,Unnatural standalone future statement without context.,The cat will move.
25566,A1,civic,2.200,2,1,5,,1,Classroom/app-specific and awkwardly phrased.,Start the dialogue now.
25417,A1,civic,2.300,4,2,2,26433,1,Currency-specific and awkwardly specific,I have a euro coin.
22811,A1,civic,2.400,2,2,4,,1,Uncommon phrasing; likely context-bound,Call me by name.
21744,A1,civic,2.400,2,2,4,,1,Awkward English; natives usually say 'Here's my address.',My address is here.
23469,A1,civic,2.400,2,2,4,,1,Awkward generic statement; low real-life use.,Opinion matters a lot.
5404,A1,civic,2.400,2,2,4,,1,Second sentence is awkward and context-specific.,We have two choices. Please choose the other one.
23712,A1,civic,2.500,4,1,5,23384,1,Templated padding: bare 'I see a X' variant,I see a bus.
24110,A1,civic,2.500,3,2,5,23914,1,Grammatical but thin and not very reusable.,This is the main one.
25308,A1,civic,2.500,3,2,5,24682,1,Limited real-life use; awkward instructional feel,Let's guess together.
26299,A1,civic,2.500,3,2,5,24096,1,Awkward phrasing; specific location variant.,Look below the bed now.
12880,A1,civic,2.500,4,2,3,24043,1,Game-specific and 'luck' adds translation friction.,Try your luck at this game.
24620,A1,civic,2.600,3,2,3,,1,Too context-free; member of what is unclear,He is a member.
26860,A1,civic,2.600,2,2,5,,1,Grammatical but stiff; natives more often say 'follow the rules'.,I obey the rule.
