id,level,domain,score,naturalness,utility,translatability,suspected_dup_of,llm_cut,reason,en_text
27115,A0,everyday,3.000,3,2,5,,1,Understandable but low-frequency imperative,Go upstairs please
27116,A0,everyday,3.000,3,2,5,,1,Understandable but low-frequency imperative,Go downstairs please
27305,A0,everyday,3.000,2,3,5,,1,Missing 'It's' or 'A'; unnatural as given,Pleasure to meet you
27019,A0,everyday,3.000,2,3,5,,1,Telegraphic and unnatural; needs 'What is' or 'Please write'.,Your full name please
27244,A0,everyday,3.000,4,2,3,,1,Often means 'I understand'; potentially ambiguous.,I hear you
27017,A0,everyday,3.000,4,2,3,,1,Vague chunk with limited reuse,This and that
27378,A0,everyday,3.000,4,2,3,,1,Ambiguous; 'line' translates inconsistently,Is that the line?
27393,A0,everyday,3.000,3,3,3,,0,"A bit unnatural, but broadly translatable.",I have pain
27256,A0,everyday,3.100,4,3,4,27138,1,Pronoun reference is vague; weaker than object forms.,I lost it
26996,A0,everyday,3.100,4,3,4,26995,1,Possessive variant; near-duplicate set,Those are theirs
27268,A0,everyday,3.100,4,3,4,27269,0,Natural enough; useful in local-origin contexts.,I am from here
27034,A0,everyday,3.200,5,1,4,,1,Semantically trivial; very low communicative value,She is a woman
27341,A0,everyday,3.200,4,2,4,,1,Context-bound discourse phrase,Very good then
27021,A0,everyday,3.200,2,4,4,,1,"Awkward clipped form; 'Your last name, please' is better.",Last name please
27068,A0,everyday,3.200,4,2,4,,1,Time fragment; low standalone value,This Friday night
27281,A0,everyday,3.200,4,2,4,,1,Narrow transit wording; not broadly reusable,One transfer only
27160,A0,everyday,3.200,3,3,4,,0,Useful but ambiguous as command/request,Charge my phone
27099,A0,everyday,3.200,3,3,4,,0,"Useful shorthand, slightly clipped",Thirty minutes max
27073,A0,everyday,3.300,5,2,5,27067,1,Bare time phrase; low standalone value,This month
27133,A0,everyday,3.300,5,2,5,27132,1,Near-duplicate right/left variant; low standalone value.,On the right side
27294,A0,everyday,3.300,4,3,5,27293,1,Near-duplicate greeting; less essential than 'Hello',Hi there
27169,A0,everyday,3.300,4,3,5,27168,1,Templated drink-request variant,I want tea
27111,A0,everyday,3.300,4,3,5,27110,1,Direction pair; keep one cleaner variant,Very far away
